"""Fiskální rok/období"""FISCPER:0FISCPER;"""Kapitola"""FM_AREA:0FM_AREA;"""Prur. a spec. ukazat"""/BIC/ZC_PSUK:ZC_PSUK;"""Schválený rozpočet 0"""KYF_0001:ZU_ROZSCH;"""Rozpočet po změnách 0"""KYF_0002:ZU_ROZPZM;"""Konečný rozpočet 0"""KYF_0003:ZU_KROZP;"""Skutečnost 0"""KYF_0004:ZU_ROZKZ;"""Mimorozpočtové prostředky"""KYF_0005:ZU_ROZKZ;"""Čerpání nároků z nespotřebovaných výdajů"""KYF_0006:ZU_ROZKZ
2025001;0359;PU10010000;15302640.00 ;15302640.00 ;17799145.00 ;23678.00 ;0.00 ;0.00 
2025001;0359;PU10020000;5172293.00 ;5172293.00 ;6158330.00 ;8003.00 ;0.00 ;0.00 
2025001;0359;PU10030000;84263.00 ;84263.00 ;97370.95 ;236.78 ;0.00 ;0.00 
0000000;0359;PU10050000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0359;PU10060000;8376240.00 ;8376240.00 ;10210425.00 ;23678.00 ;0.00 ;0.00 
0000000;0359;PU10180000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0359;PU10200000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0359;PU10200100;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0359;PU10200200;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0359;PU10230000;1100000.00 ;1100000.00 ;1100000.00 ;0.00 ;0.00 ;0.00 
0000000;0359;PU10240000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
0000000;0359;SU1010000000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0359;SU1030000000;0.00 ;0.00 ;0.00 ;6256.00 ;0.00 ;0.00 
0000000;0359;SU1030010000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0359;SU1030040000;0.00 ;0.00 ;0.00 ;6256.00 ;0.00 ;0.00 
2025001;0359;SU5010000000;27194002.00 ;27194002.00 ;33729170.52 ;718720.15 ;0.00 ;11398.00 
2025001;0361;PU10010000;55450356.00 ;55450356.00 ;55585370.00 ;0.00 ;0.00 ;0.00 
2025001;0361;PU10020000;18742220.00 ;18742220.00 ;18807257.00 ;0.00 ;0.00 ;0.00 
2025001;0361;PU10030000;457385.00 ;457385.00 ;534201.00 ;0.00 ;0.00 ;0.00 
2025001;0361;PU10060000;45738616.00 ;45738616.00 ;45747567.00 ;0.00 ;0.00 ;0.00 
2025001;0361;PU10080000;7952432643.00 ;7952432643.00 ;7954169906.11 ;1792129671.23 ;0.00 ;0.00 
2025001;0361;PU10080100;7952170393.00 ;7952170393.00 ;7953907656.11 ;1792129671.23 ;0.00 ;0.00 
2025001;0361;PU10080101;7952170393.00 ;7952170393.00 ;7953907656.11 ;1792129671.23 ;0.00 ;0.00 
0000000;0361;PU10080102;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0361;PU10080200;262250.00 ;262250.00 ;262250.00 ;0.00 ;0.00 ;0.00 
0000000;0361;PU10090000;0.00 ;0.00 ;0.00 ;0.00 ;0.00 ;0.00 
2025001;0361;PU10110000;5925722028.00 ;5925722028.00 ;5925722028.00 ;1791137007.00 ;0.00 ;0.00 
2025001;0361;PU10200000;2618500.00 ;2618500.00 ;2618500.00 ;0.00 ;0.00 ;0.00 
2025001;0361;PU10200100;2356250.00 ;2356250.00 ;2356250.00 ;0.00 ;0.00 ;0.00 
