"ROK","ICP","ICO","NACE"
2022,210700022,43003397,"383200"
2022,210700052,15890554,"473000"
2022,210700092,45148155,"109100"
2022,210700102,42727201,"873010"
2022,210700432,25112287,"257300"
2022,210700452,47535156,"015000"
2022,210700482,108146,"015000"
2022,210700492,108146,"015000"
2022,210700532,61672904,"302000"
2022,210700592,670081,"162300"
2022,210700622,47535156,"015000"
2022,210700692,40899233,"494100"
2022,210770012,26468590,"473000"
2022,210770032,44264721,"081100"
2022,210770052,49549677,"360000"
2022,210770232,24149225,"682000"
2022,210770292,28510011,"353010"
2022,210800172,25793187,"353000"
2022,210800482,25793187,"353000"
2022,210800572,10208470,"473000"
2022,210800812,49823299,"432200"
2022,210800852,60193531,"521000"
2022,210800912,49823299,"432200"
2022,210800972,25793187,"353000"
2022,210801342,25793187,"353000"
2022,210801352,25793187,"353000"
2022,210801832,27112713,"473000"
2022,210801962,25793187,"353000"
2022,210802082,47558130,"853110"
2022,210802102,62417215,"281500"
2022,210802312,49823299,"432200"
2022,210802442,27872963,"861000"
2022,210802452,27459098,"107100"
2022,210802732,26117274,"222300"
2022,210802772,25793187,"353000"
2022,210802842,28240,"309900"
2022,210812012,26178541,"471100"
2022,210842522,103004,"015000"
2022,210842552,67291147,"433400"
2022,210842612,25760912,"322000"
2022,210842622,45241759,"272000"
2022,210842762,27650995,"473000"
2022,210870052,49356089,"381100"
2022,210870062,70539456,"873010"
2022,210870102,62417215,"281500"
2022,210870122,49452011,"081200"
2022,210870142,61856495,"231200"
2022,210870242,49100840,"257200"
2022,210870272,27994929,"081200"
2022,210900092,61888524,"473000"
2022,210900102,26496178,"473000"
2022,210900132,47048786,"682000"
2022,210900192,60193531,"521000"
2022,210900202,60193531,"521000"
2022,210900212,47114983,"531000"
2022,210900272,25544551,"107200"
2022,210900382,46351141,"522900"
2022,210900592,45317054,"641900"
2022,210900982,15890554,"473000"
2022,210900992,15890554,"473000"
2022,210901142,27935311,"701000"
2022,210901212,26196620,"360000"
2022,210901252,45148082,"462100"
2022,210901262,45148082,"462100"
2022,210901392,49900501,"107100"
2022,210901492,25149318,"282500"
2022,210901652,49823574,"473000"
2022,210901702,45308314,"471100"
2022,210901712,47541563,"452000"
2022,210901732,15890554,"473000"
2022,210901752,12381187,"473000"
2022,210901782,27161536,"293200"
2022,210901862,48038687,"473000"
2022,210901892,26128209,"324000"
2022,210901912,49551272,"236300"
2022,210902002,26500299,"243100"
2022,210902052,26196620,"360000"
2022,210902152,25110161,"471100"
2022,210902172,47906201,"081200"
2022,210902182,46351558,"271200"
2022,210902322,46359168,"451100"
2022,210902372,62437488,"201400"
2022,210902452,46357467,"310900"
2022,210902592,13293516,"233200"
2022,210902602,47539801,"353010"
2022,210902772,48038687,"473000"
2022,210902852,26422425,"252900"
2022,210902872,49823574,"473000"
2022,210902882,49823574,"473000"
2022,210902922,46351558,"271200"
2022,210902942,46351558,"271200"
2022,210902992,26154170,"931100"
2022,210903002,26154170,"931100"
2022,210903022,49366076,"749000"
2022,210903062,234516,"841100"
2022,210903092,234516,"841100"
2022,210903172,27661440,"281500"
2022,210903192,16977246,"853210"
2022,210903202,61894371,"853220"
2022,210903282,69797111,"841100"
2022,210903292,47535431,"110700"
2022,210970082,25137026,"236300"
2022,210970092,26128209,"324000"
2022,210970122,47539801,"353010"
2022,210970162,25719980,"432100"
2022,210970172,47543647,"452000"
2022,210970192,28938836,"431200"
2022,210970222,46969691,"259100"
2022,210970242,27407730,"011100"
2022,210970312,27900797,"682000"
2022,210970382,14799430,"451100"
2022,210970512,28674286,"383200"
2022,211000022,40875504,"107100"
2022,211000062,60193531,"521000"
2022,211000072,60193531,"521000"
2022,211000082,60193531,"521000"
2022,211000092,60193531,"521000"
2022,211000142,177032,"853220"
2022,211000262,25110161,"471100"
2022,211000272,49862456,"853110"
2022,211000312,67779999,"841100"
2022,211000332,48038687,"473000"
2022,211000342,46383433,"853110"
2022,211000352,25145428,"494100"
2022,211000392,10135316,"222300"
2022,211000422,47714018,"682020"
2022,211000472,41197518,"843000"
2022,211000502,27096670,"081200"
2022,211000542,27888754,"104100"
2022,211000582,26500329,"522900"
2022,211000692,26416417,"271200"
2022,211000792,45148210,"462100"
