"KOD","TEXT"
"473000","Maloobchod s pohonnými hmotami ve specializovaných prodejnách"
"475200","Maloobchod s železářským zbožím, barvami, sklem a potřebami pro kutily"
"475900","Maloobchod s nábytkem, svítidly a ostatními výrobky převážně pro domácnost ve specializovaných prodejnách"
"476400","Maloobchod se sportovním vybavením"
"477100","Maloobchod s oděvy"
"477200","Maloobchod s obuví a koženými výrobky"
"477300","Maloobchod s farmaceutickými přípravky"
"477400","Maloobchod se zdravotnickými a ortopedickými výrobky"
"477500","Maloobchod s kosmetickými a toaletními výrobky"
"477600","Maloobchod s květinami, rostlinami, osivy, hnojivy, zvířaty pro zájmový chov a krmivy pro ně"
"477800","Ostatní maloobchod s novým zbožím ve specializovaných prodejnách"
"477820","Maloobchod s pevnými palivy"
"477900","Maloobchod s použitým zbožím v prodejnách"
"491000","Železniční osobní doprava meziměstská"
"492000","Železniční nákladní doprava"
"493100","Městská a příměstská pozemní osobní doprava"
"493200","Taxislužba a pronájem osobních vozů s řidičem"
"493910","Meziměstská pravidelná pozemní osobní doprava"
"493920","Osobní doprava lanovkou nebo vlekem"
"494100","Silniční nákladní doprava"
"495010","Potrubní doprava ropovodem"
"495020","Potrubní doprava plynovodem"
"520000","Skladování a vedlejší činnosti v dopravě"
"521000","Skladování"
"522100","Činnosti související s pozemní dopravou"
"522300","Činnosti související s leteckou dopravou"
"522400","Manipulace s nákladem"
"522900","Ostatní vedlejší činnosti v dopravě"
"531000","Základní poštovní služby poskytované na základě poštovní licence"
"532000","Ostatní poštovní a kurýrní činnosti"
"550000","Ubytování"
"551000","Ubytování v hotelích a podobných ubytovacích zařízeních"
"551010","Hotely"
"551020","Motely, botely"
"552000","Rekreační a ostatní krátkodobé ubytování"
"559000","Ostatní ubytování"
"559020","Ubytování ve vysokoškolských kolejích, domovech mládeže"
"561000","Stravování v restauracích, u stánků a v mobilních zařízeních"
"563000","Pohostinství"
"581300","Vydávání novin"
"591200","Postprodukce filmů, videozáznamů a televizních programů"
"601000","Rozhlasové vysílání"
"602000","Tvorba televizních programů a televizní vysílání"
"611000","Činnosti související s pevnou telekomunikační sítí"
"611030","Přenos dat přes pevnou telekomunikační síť"
"611040","Poskytování přístupu k internetu přes pevnou telekomunikační síť"
"612000","Činnosti související s bezdrátovou telekomunikační sítí"
"612010","Poskytování hlasových služeb přes bezdrátovou telekomunikační síť"
"612030","Přenos dat přes bezdrátovou telekomunikační síť"
"612090","Ostatní činnosti související s bezdrátovou telekomunikační sítí"
"620000","Činnosti v oblasti informačních technologií"
"620100","Programování"
"620200","Poradenství v oblasti informačních technologií"
"620300","Správa počítačového vybavení"
"631100","Činnosti související se zpracováním dat a hostingem"
"639100","Činnosti zpravodajských tiskových kanceláří a agentur"
"641100","Centrální bankovnictví"
"641900","Ostatní peněžní zprostředkování"
"642000","Činnosti holdingových společností"
"643000","Činnosti trustů, fondů a podobných finančních subjektů"
"649900","Ostatní finanční zprostředkování j. n."
"651200","Neživotní pojištění"
"661900","Ostatní pomocné činnosti související s finančním zprostředkováním"
"663000","Správa fondů"
"682000","Pronájem a správa vlastních nebo pronajatých nemovitostí"
"682010","Pronájem vlastních nebo pronajatých nemovitostí s bytovými prostory"
"682020","Pronájem vlastních nebo pronajatých nemovitostí s nebytovými prostory"
"682040","Správa vlastních nebo pronajatých nemovitostí s nebytovými prostory"
"683000","Činnosti v oblasti nemovitostí na základě smlouvy nebo dohody"
"683100","Zprostředkovatelské činnosti realitních agentur"
"683200","Správa nemovitostí na základě smlouvy"
"691000","Právní činnosti"
"692000","Účetnické a auditorské činnosti; daňové poradenství"
"701000","Činnosti vedení podniků"
"702200","Ostatní poradenství v oblasti podnikání a řízení"
"711000","Architektonické a inženýrské činnosti a související technické poradenství"
"711100","Architektonické činnosti"
"711200","Inženýrské činnosti a související technické poradenství"
"711210","Geologický průzkum"
"711230","Hydrometeorologické a meteorologické činnosti"
"711290","Ostatní inženýrské činnosti a související technické poradenství j. n."
"712000","Technické zkoušky a analýzy"
"712090","Ostatní technické zkoušky a analýzy"
"721100","Výzkum a vývoj v oblasti biotechnologie"
"721900","Ostatní výzkum a vývoj v oblasti přírodních a technických věd"
"721920","Výzkum a vývoj v oblasti technických věd"
"721990","Výzkum a vývoj v oblasti jiných přírodních věd"
"731100","Činnosti reklamních agentur"
"740000","Ostatní profesní, vědecké a technické činnosti"
"741000","Specializované návrhářské činnosti"
"742000","Fotografické činnosti"
"749000","Ostatní profesní, vědecké a technické činnosti j. n."
"749090","Jiné profesní, vědecké a technické činnosti j. n."
"771100","Pronájem a leasing automobilů a jiných lehkých motorových vozidel, kromě motocyklů"
"771200","Pronájem a leasing nákladních automobilů"
"772900","Pronájem a leasing ostatních výrobků pro osobní potřebu a převážně pro domácnost"
"773200","Pronájem a leasing stavebních strojů a zařízení"
"773900","Pronájem a leasing ostatních strojů, zařízení a výrobků j. n."
"782000","Činnosti agentur zprostředkujících práci na přechodnou dobu"
"791100","Činnosti cestovních agentur"
"801000","Činnosti soukromých bezpečnostních agentur"
"811000","Kombinované pomocné činnosti"
"812100","Všeobecný úklid budov"
"812200","Specializované čištění a úklid budov a průmyslových zařízení"
"812900","Ostatní úklidové činnosti"
"813000","Činnosti související s úpravou krajiny"
"821000","Administrativní a kancelářské činnosti"
"821100","Univerzální administrativní činnosti"
"823000","Pořádání konferencí a hospodářských výstav"
"829200","Balicí činnosti"
"829900","Ostatní podpůrné činnosti pro podnikání j. n."
"841100","Všeobecné činnosti veřejné správy"
"841300","Regulace a podpora podnikatelského prostředí"
"842100","Činnosti v oblasti zahraničních věcí"
"842200","Činnosti v oblasti obrany"
"842300","Činnosti v oblasti spravedlnosti a soudnictví"
"842400","Činnosti v oblasti veřejného pořádku a bezpečnosti"
"842500","Činnosti v oblasti protipožární ochrany"
"843000","Činnosti v oblasti povinného sociálního zabezpečení"
"851000","Předškolní vzdělávání"
"852000","Primární vzdělávání"
"853100","Sekundární všeobecné vzdělávání"
"853110","Základní vzdělávání na druhém stupni základních škol"
"853120","Střední všeobecné vzdělávání"
"853200","Sekundární odborné vzdělávání"
"853210","Střední odborné vzdělávání na učilištích"
"853220","Střední odborné vzdělávání na středních odborných školách"
"854100","Postsekundární nikoli terciární vzdělávání"
