"Ukazatel","IndicatorType","Pohlaví","POHL2","Roky","CasR","ČR, Reg. soudržnosti, Kraje","Uz012","Hodnota"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Severozápad","CZ04","1126721"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Severovýchod","CZ05","1480144"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Jihovýchod","CZ06","1640354"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Střední Morava","CZ07","1230129"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Moravskoslezsko","CZ08","1253257"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Hlavní město Praha","CZ010","1170571"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Středočeský kraj","CZ020","1144071"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Jihočeský kraj","CZ031","625712"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Plzeňský kraj","CZ032","549618"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Karlovarský kraj","CZ041","304588"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Ústecký kraj","CZ042","822133"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Liberecký kraj","CZ051","427563"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Královéhradecký kraj","CZ052","547296"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Pardubický kraj","CZ053","505285"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Kraj Vysočina","CZ063","510114"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Jihomoravský kraj","CZ064","1130240"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Olomoucký kraj","CZ071","639423"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Zlínský kraj","CZ072","590706"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2005","2005","Moravskoslezský kraj","CZ080","1253257"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Česko","CZ","10251079"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Praha","CZ01","1181610"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Střední Čechy","CZ02","1158108"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Jihozápad","CZ03","1179294"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Severozápad","CZ04","1127447"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Severovýchod","CZ05","1483423"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Jihovýchod","CZ06","1641125"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Střední Morava","CZ07","1229303"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Moravskoslezsko","CZ08","1250769"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Hlavní město Praha","CZ010","1181610"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Středočeský kraj","CZ020","1158108"
"Počet obyvatel k 1. 1. (počáteční stav)","2406P","Celkem","0","2006","2006","Jihočeský kraj","CZ031","627766"
