"ROK","IDFPROV","EMISE","EMI_MNO_T"
2023,210901712,"těkavé organické látky (VOC)",0.0180
2023,210901782,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0.6290
2023,210901782,"oxid uhelnatý (CO)",0.9250
2023,210901782,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.2260
2023,210901782,"tuhé znečišťující látky (TZL)",0.0280
2023,210901892,"organické látky vyjádřené jako celkový organický uhlík (TOC)",5.76
2023,210901892,"oxid uhelnatý (CO)",0.01
2023,210901892,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.3340
2023,210901892,"tuhé znečišťující látky (TZL)",0
2023,210901892,"těkavé organické látky (VOC)",7.1990
2023,210901912,"tuhé znečišťující látky (TZL)",0.6930
2023,210902002,"tuhé znečišťující látky (TZL)",0.0470
2023,210902302,"oxid uhelnatý (CO)",0
2023,210902302,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0020
2023,210902372,"oxid uhelnatý (CO)",0.0180
2023,210902372,"oxidy dusíku vyjádřené jako oxid dusičitý (NOx)",0.0010
2023,210902592,"organické látky vyjádřené jako celkový organický uhlík (TOC)",0
2023,210902592,"organické sloučeniny chloru vyjádřené jako chlor (Cl)",0.0210
